cond.s.m,echo.s.m,cond.p.m,echo.p.m
1,0.000129586,p,0.000388759
1,0.00013365,p,0.000400949
1,0.000103949,p,0.000311846
1,0.000107341,p,0.000322023
1,0.00014107,p,0.000423211
1,0.000127724,p,0.000383172
1,0.00010487,p,0.000314609
1,0.000133888,p,0.000401664
1,0.000134445,p,0.000403334
1,0.000100496,p,0.000301489
1,0.000169856,p,0.000509567
1,0.00010666,p,0.000319981
1,0.000144624,p,0.000433871
1,0.000107686,p,0.000323058
1,8.50109E-05,p,0.000255033
1,0.00016328,p,0.000489841
1,0.000135471,p,0.000406414
1,0.000136759,p,0.000410276
1,0.000115055,p,0.000345166
1,9.48259E-05,p,0.000284478
1,0.00011673,p,0.00035019
1,0.000126179,p,0.000378538
1,0.000107959,p,0.000323877
1,0.000132346,p,0.000397038
1,0.000103719,p,0.000311156
1,9.40752E-05,p,0.000282226
1,0.000120605,p,0.000361814
1,0.000105012,p,0.000315035
1,0.000135105,p,0.000405315
1,0.000164413,p,0.000493238
1,0.000112303,p,0.00033691
1,0.000108188,p,0.000324565
1,0.000124335,p,0.000373004
1,0.000124918,p,0.000374753
1,0.000130047,p,0.000390142
1,0.000102758,p,0.000308273
1,8.1204E-05,p,0.000243612
1,0.000121241,p,0.000363723
1,8.61059E-05,p,0.000258318
1,0.00010994,p,0.00032982
1,0.000144546,p,0.000433638
1,0.00010093,p,0.000302789
1,0.000131505,p,0.000394515
1,0.000109002,p,0.000327007
1,0.00013359,p,0.00040077
1,9.45119E-05,p,0.000283536
1,0.000114297,p,0.000342892
1,0.000125286,p,0.000375858
1,0.000134752,p,0.000404255
1,0.000131064,p,0.000393192
1,0.000132459,p,0.000397378
1,0.000123428,p,0.000370283
1,0.000112459,p,0.000337378
1,0.000137496,p,0.000412488
1,9.34758E-05,p,0.000280427
1,0.000116822,p,0.000350467
1,0.000109021,p,0.000327064
1,0.000131398,p,0.000394193
1,0.000120536,p,0.000361607
1,0.000102787,p,0.000308361
1,0.000112378,p,0.000337133
1,0.000154832,p,0.000464495
1,0.000138316,p,0.000414947
1,0.000112476,p,0.000337429
1,0.000129306,p,0.000387918
1,0.000108627,p,0.000325881
1,0.000165136,p,0.000495408
1,0.000141692,p,0.000425077
1,0.000113563,p,0.000340688
1,9.30264E-05,p,0.000279079
1,0.00010097,p,0.000302911
1,0.000136255,p,0.000408764
1,0.000109475,p,0.000328424
1,0.000135137,p,0.00040541
1,0.000134334,p,0.000403001
1,0.000109477,p,0.00032843
1,0.000115342,p,0.000346026
1,0.000120339,p,0.000361016
1,0.000105954,p,0.000317861
1,0.000151056,p,0.000453169
1,9.63001E-05,p,0.0002889
1,0.000131228,p,0.000393684
1,0.00011818,p,0.000354539
1,9.52877E-05,p,0.000285863
1,0.000121221,p,0.000363663
1,0.000109466,p,0.000328397
1,0.000120123,p,0.00036037
1,0.000122914,p,0.000368742
1,0.000126753,p,0.000380259
1,9.02926E-05,p,0.000270878
1,0.000133794,p,0.000401383
1,9.74585E-05,p,0.000292376
1,7.60193E-05,p,0.000228058
1,0.000153164,p,0.000459491
1,0.000134861,p,0.000404584
1,0.00015976,p,0.00047928
1,0.00012698,p,0.000380939
1,0.000116958,p,0.000350875
1,0.0001172,p,0.0003516
1,0.000126692,p,0.000380077
1,0.000117913,p,0.000353738
1,0.000100873,p,0.00030262
1,0.000121906,p,0.000365719
1,0.000123919,p,0.000371757
1,0.000124652,p,0.000373956
1,0.000116212,p,0.000348637
1,0.000107727,p,0.00032318
1,0.000100628,p,0.000301884
1,9.85804E-05,p,0.000295741
1,0.000153205,p,0.000459614
1,0.000135928,p,0.000407784
1,0.000126558,p,0.000379674
1,0.00012675,p,0.000380249
1,0.000113006,p,0.000339019
1,0.00013886,p,0.000416579
1,0.000124562,p,0.000373685
1,0.00011933,p,0.000357991
1,0.000121694,p,0.000365083
1,9.43436E-05,p,0.000283031
1,0.000101401,p,0.000304202
1,0.000116402,p,0.000349205
1,0.000109755,p,0.000329265
1,0.000124346,p,0.000373037
1,0.000122232,p,0.000366695
1,0.000113841,p,0.000341524
1,0.000120648,p,0.000361944
1,0.00011744,p,0.00035232
1,0.000131387,p,0.000394161
1,0.000123273,p,0.000369819
1,0.000136137,p,0.000408411
1,0.000103084,p,0.000309252
1,0.000122244,p,0.000366733
1,0.00012485,p,0.000374549
1,0.000122761,p,0.000368284
1,0.000132249,p,0.000396746
1,0.000133056,p,0.000399168
1,0.00012715,p,0.00038145
1,0.000101446,p,0.000304339
1,0.000145756,p,0.000437268
1,0.000117986,p,0.000353958
1,0.000126913,p,0.00038074
1,0.000110747,p,0.000332242
1,9.67801E-05,p,0.00029034
1,9.55284E-05,p,0.000286585
1,0.000122201,p,0.000366604
1,0.000112514,p,0.000337542
1,0.000108715,p,0.000326144
1,0.000141774,p,0.000425321
1,8.70754E-05,p,0.000261226
1,0.00012744,p,0.000382321
1,0.000104855,p,0.000314566
1,0.000126723,p,0.000380169
1,7.20072E-05,p,0.000216021
1,9.64601E-05,p,0.00028938
1,9.96044E-05,p,0.000298813
1,0.000135153,p,0.000405459
1,0.000133471,p,0.000400414
1,0.000157795,p,0.000473385
1,0.000105942,p,0.000317827
1,8.93679E-05,p,0.000268104
1,8.60261E-05,p,0.000258078
1,0.000101488,p,0.000304464
1,9.85784E-05,p,0.000295735
1,0.000118733,p,0.000356199
1,0.000130068,p,0.000390203
1,0.000122934,p,0.000368803
1,0.000133006,p,0.000399019
1,0.000115351,p,0.000346052
1,0.000141892,p,0.000425677
1,9.87675E-05,p,0.000296303
1,0.000122487,p,0.000367461
1,0.000112741,p,0.000338223
1,9.53207E-05,p,0.000285962
1,0.000109381,p,0.000328144
1,0.000134016,p,0.000402049
1,8.02036E-05,p,0.000240611
1,0.000122412,p,0.000367236
1,0.000110796,p,0.000332389
1,8.79934E-05,p,0.00026398
1,0.000105346,p,0.000316038
1,0.000126455,p,0.000379366
1,0.000143295,p,0.000429884
1,9.92751E-05,p,0.000297825
1,0.000150507,p,0.00045152
1,0.000144035,p,0.000432105
1,0.000158321,p,0.000474962
1,0.000105451,p,0.000316353
1,8.63622E-05,p,0.000259087
1,0.000126006,p,0.000378017
1,0.000136198,p,0.000408594
1,9.95983E-05,p,0.000298795
1,0.000112806,p,0.000338419
1,8.21897E-05,p,0.000246569
1,9.02508E-05,p,0.000270752
1,0.000127446,p,0.000382337
1,0.000111061,p,0.000333184
1,0.000133686,p,0.000401058
1,0.000135424,p,0.000406273
1,7.93645E-05,p,0.000238093
1,0.000102792,p,0.000308377
1,8.31863E-05,p,0.000249559
1,0.000133731,p,0.000401194
1,0.000106934,p,0.000320803
1,9.33913E-05,p,0.000280174
1,0.000137633,p,0.000412899
1,9.15753E-05,p,0.000274726
1,0.000124909,p,0.000374726
1,9.16568E-05,p,0.00027497
1,0.000142696,p,0.000428088
1,9.86413E-05,p,0.000295924
1,0.000173042,p,0.000519126
1,0.000100948,p,0.000302845
1,0.00012092,p,0.00036276
1,0.000146224,p,0.000438671
1,0.000112686,p,0.000338058
1,0.000110251,p,0.000330752
1,0.000117361,p,0.000352082
1,0.000128813,p,0.000386438
1,9.96903E-05,p,0.000299071
